Data,Fix,Top,Premium M.,Premium F.,Multiprev M.,Multiprev F.,Previdence,XP Prev,Access,Synta,Capit D. Inc,Capit D. Inc F.,Aquila6,Strategy,CW1,Inflation,Index,Alfa,Harpia,Emb,Portfolio,Multi,Volks Fusca,Fcopel,São Paulo,Reit,Reit 90,Top-Cotas,Premium M.-Cotas,Premium F.-Cotas,Multiprev M.-Cotas,Multiprev F.-Cotas,Previdence-Cotas,XP Prev-Cotas,Access-Cotas,Synta-Cotas,Capit D. Inc-Cotas,Capit D. Inc F.-Cotas,Aquila6-Cotas,Strategy-Cotas,CW1-Cotas,Inflation-Cotas,Index-Cotas,Alfa-Cotas,Harpia-Cotas,Emb-Cotas,Portfolio-Cotas,Multi-Cotas,Volks Fusca-Cotas,Fcopel-Cotas,São Paulo-Cotas,Reit-Cotas,Reit 90-Cotas
7/16/2015,106%,103%,121%,114%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,149%,282%,#N/A,235%,225%,162%,173%,116%,175%,112%,#N/A,#N/A,#N/A,#N/A,#N/A,343062201.98,343327541.58,130257668.58,130507733.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69022176.32,173716137.79,#N/A,67891415.48,67860387.01,53409091.64,63798848.44,132048002.99,336386705.77,296409149.99,#N/A,#N/A,#N/A,#N/A,#N/A
7/17/2015,105%,102%,108%,103%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,88%,140%,#N/A,126%,117%,105%,97%,116%,128%,152%,#N/A,#N/A,#N/A,#REF!,#N/A,343245296.04,343544274.68,131179284.71,131361004.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69052915.38,173839220.11,#N/A,67934985.47,67900804.84,53437666.44,63830386.80,132125768.20,336605005.68,296638522.97,#N/A,#N/A,#N/A,15000000.00,#N/A
7/20/2015,112%,109%,146%,135%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,229%,316%,#N/A,411%,399%,251%,274%,32%,292%,117%,#N/A,#N/A,#N/A,0%,#N/A,343439711.94,343862994.79,131526252.63,131628957.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69133181.71,174118420.79,#N/A,68076857.46,68038322.84,53505867.17,63919018.57,132147324.76,337104416.92,296815359.89,#N/A,#N/A,#N/A,14999999.99,#N/A
7/21/2015,108%,105%,128%,120%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,192%,218%,#N/A,286%,275%,211%,218%,110%,204%,241%,#N/A,#N/A,#N/A,152%,#N/A,345423463.27,345558747.18,132284839.51,132382166.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69200418.90,174311293.36,#N/A,68175606.94,68133239.41,53563188.28,63989763.77,132221148.30,337452687.01,297178212.95,#N/A,#N/A,#N/A,15011592.52,#N/A
7/22/2015,102%,99%,87%,85%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-13%,50%,#N/A,-107%,-113%,25%,-40%,110%,34%,174%,#N/A,#N/A,#N/A,-152%,#N/A,345901744.07,346208664.11,133535318.07,133632476.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69195843.13,175455729.80,#N/A,68138667.91,68094114.93,53570033.38,63976675.80,132295009.65,337510213.60,297441074.69,#N/A,#N/A,#N/A,14999999.98,#N/A
7/23/2015,96%,93%,34%,40%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-164%,-222%,#N/A,-574%,-574%,-139%,-282%,133%,-251%,47%,#N/A,#N/A,#N/A,0%,#N/A,346470867.18,346756670.24,134673504.36,134774644.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69138305.26,175258300.77,#N/A,67940200.88,67895894.57,53532316.44,63885015.29,135284292.73,337080484.85,297511551.15,#N/A,#N/A,#N/A,15000000.05,#N/A
7/24/2015,102%,99%,60%,61%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11%,-118%,#N/A,-197%,-202%,4%,-34%,126%,-124%,-167%,#N/A,#N/A,#N/A,-663%,#N/A,346720594.82,346983865.03,134914242.65,134936598.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69142238.84,175153259.28,#N/A,67872219.76,67826152.16,53533358.32,63874107.94,157370829.02,336868619.62,297259641.72,#N/A,#N/A,#N/A,14949560.69,#N/A
7/27/2015,109%,106%,144%,134%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67%,244%,#N/A,99%,90%,102%,142%,112%,223%,-122%,#N/A,#N/A,#N/A,665%,#N/A,348332962.55,348743375.54,135212596.09,135248142.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69165839.50,175370416.42,#N/A,67906312.20,67857239.58,53561081.53,63920221.82,157460347.92,337250705.93,297075908.91,#N/A,#N/A,#N/A,14999999.99,#N/A
7/28/2015,103%,100%,69%,69%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,82%,-84%,#N/A,80%,72%,102%,-74%,114%,-37%,219%,#N/A,#N/A,#N/A,-856%,#N/A,348314235.33,348691824.17,136259812.11,136335601.92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69194469.38,175296041.00,#N/A,67933905.25,67881905.99,53588723.16,63896257.54,157551267.45,337186650.87,297405846.04,#N/A,#N/A,#N/A,14934812.29,#N/A
7/29/2015,108%,105%,111%,106%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,122%,169%,#N/A,187%,177%,136%,128%,114%,143%,-42%,#N/A,#N/A,#N/A,23%,#N/A,342204390.01,342601274.08,136486720.62,136562265.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69237172.09,175446448.14,#N/A,67998294.63,67942918.76,53625587.25,63937641.17,157642322.77,337431758.98,297342382.56,#N/A,#N/A,#N/A,14936593.24,#N/A
7/30/2015,115%,112%,157%,145%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,219%,491%,#N/A,619%,605%,277%,397%,112%,374%,139%,#N/A,#N/A,#N/A,455%,#N/A,342404431.47,342924406.47,136795472.54,136904333.18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69314141.60,175883411.57,#N/A,68211975.99,68151397.60,53701050.37,64066469.87,160331948.99,338072448.23,297551569.46,#N/A,#N/A,#N/A,14971087.59,#N/A
7/31/2015,107%,104%,146%,135%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,138%,277%,#N/A,282%,271%,171%,196%,110%,273%,349%,#N/A,#N/A,#N/A,368%,#N/A,343097020.54,343426354.04,137010093.56,137111435.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69364230.80,176138892.03,#N/A,68312712.00,68248301.91,53749258.55,64132215.80,160424892.99,338556579.83,298078355.66,#N/A,#N/A,#N/A,14999999.94,#N/A
8/3/2015,106%,104%,70%,71%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,91%,-24%,#N/A,-67%,-73%,82%,-44%,111%,-40%,226%,#N/A,#N/A,#N/A,-266%,#N/A,344773619.77,344899646.03,137660588.63,137826430.64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69397475.96,176116768.38,#N/A,68288783.37,68222066.75,53772467.38,64117248.42,171168184.58,338486269.48,298432467.47,#N/A,#N/A,#N/A,14979068.82,#N/A
8/4/2015,104%,101%,44%,48%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98%,-27%,#N/A,102%,94%,107%,109%,110%,-56%,-8%,#N/A,#N/A,#N/A,-1374%,#N/A,345862368.96,346281729.81,138742664.53,138978810.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69433299.51,176091559.54,#N/A,68325387.57,68255643.80,53802561.51,64153883.04,175766893.88,338386278.53,298419751.88,#N/A,#N/A,#N/A,14871082.66,#N/A
8/5/2015,101%,98%,48%,45%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60%,-122%,#N/A,3%,-5%,46%,-38%,111%,-95%,-35%,#N/A,#N/A,#N/A,-984%,#N/A,346515439.85,346873893.98,139577370.26,139900153.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69455160.04,175979055.22,#N/A,68326298.36,68253705.31,53815458.65,64141026.55,175868960.26,338218278.86,298365214.80,#N/A,#N/A,#N/A,14794279.37,#N/A
8/6/2015,94%,91%,27%,22%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-20%,-269%,#N/A,-365%,-369%,-65%,-156%,111%,-221%,-99%,#N/A,#N/A,#N/A,-831%,#N/A,348385489.59,348836620.50,139896972.90,140083154.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69447794.11,175580610.14,#N/A,68130356.90,68121655.17,53797007.70,64088576.81,175971089.41,337650870.25,298210074.34,#N/A,#N/A,#N/A,14729784.44,#N/A
8/7/2015,104%,101%,83%,78%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62%,42%,#N/A,-85%,-92%,40%,-51%,109%,-12%,-226%,#N/A,#N/A,#N/A,-182%,#N/A,352774906.27,352890559.77,140347554.83,140535339.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69470537.55,175619005.88,#N/A,68100096.93,68088860.42,53808260.93,64071547.88,176071272.49,337630263.51,297856860.00,#N/A,#N/A,#N/A,14715736.05,#N/A
8/10/2015,149%,146%,161%,157%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277%,39%,#N/A,105%,97%,255%,285%,248%,105%,-16%,#N/A,#N/A,#N/A,-942%,#N/A,354121046.75,354338020.67,139466377.89,140329933.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69571428.55,175655066.58,#N/A,68137605.59,68123332.33,53880110.93,64167242.80,176300339.54,337816359.97,297831631.32,#N/A,#N/A,#N/A,14642977.56,#N/A
8/11/2015,104%,101%,130%,125%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,109%,169%,#N/A,339%,328%,123%,125%,108%,188%,101%,#N/A,#N/A,#N/A,584%,#N/A,354714233.89,354916226.88,142561607.01,142998068.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69611176.64,175810711.86,#N/A,68258809.38,68240646.08,53915002.94,64209385.66,176400682.12,339149390.33,297988763.23,#N/A,#N/A,#N/A,14687851.18,#N/A
8/12/2015,105%,102%,105%,100%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,128%,111%,#N/A,99%,90%,156%,222%,108%,105%,183%,#N/A,#N/A,#N/A,-549%,#N/A,354210325.95,354664624.31,143069876.44,143143076.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69658055.08,175913306.08,#N/A,68294240.72,68272938.42,53959209.26,64284332.98,176501084.91,339335650.98,299275518.21,#N/A,#N/A,#N/A,14645547.00,#N/A
8/13/2015,104%,100%,97%,92%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79%,102%,#N/A,30%,21%,88%,42%,109%,101%,100%,#N/A,#N/A,#N/A,141%,#N/A,348843167.59,349268747.66,143542696.16,143707202.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69686826.99,176007677.17,#N/A,68304983.39,68280476.02,53984218.35,64298434.22,176601731.43,340495701.74,299432772.83,#N/A,#N/A,#N/A,14656403.95,#N/A
8/14/2015,106%,103%,118%,113%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94%,185%,#N/A,116%,108%,107%,119%,109%,144%,96%,#N/A,#N/A,#N/A,280%,#N/A,351137045.52,351742279.97,144071196.96,144226698.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69721181.11,176178058.35,#N/A,68346718.93,68319001.31,54014522.76,64338551.98,176702438.51,340753489.75,300583927.04,#N/A,#N/A,#N/A,14677895.20,#N/A
8/17/2015,107%,104%,124%,119%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,102%,147%,#N/A,74%,66%,114%,126%,101%,415%,140%,#N/A,#N/A,#N/A,353%,#N/A,352064378.77,352378900.82,144214547.27,144385780.78,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69758445.42,176313759.77,#N/A,68373400.74,68342655.46,54046967.05,64381075.38,170296126.84,341494578.47,300804327.02,#N/A,#N/A,#N/A,14705097.94,#N/A
8/18/2015,106%,103%,149%,143%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,118%,244%,#N/A,271%,260%,330%,217%,99%,-43%,410%,#N/A,#N/A,#N/A,432%,#N/A,358559722.17,358859596.29,144916940.04,145084064.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69801513.25,176539356.12,#N/A,68470681.12,68436016.09,54140640.89,64454381.34,170384961.21,341417432.28,301450698.30,#N/A,#N/A,#N/A,14738428.92,#N/A
8/19/2015,105%,102%,64%,60%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,124%,49%,#N/A,203%,193%,-38%,105%,96%,14%,-47%,#N/A,#N/A,#N/A,-1086%,#N/A,358907222.87,359221513.58,144965482.11,145217899.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69846977.38,176584874.45,#N/A,68543484.10,68505203.15,54129853.95,64489935.38,170470431.52,341443049.36,301375763.17,#N/A,#N/A,#N/A,14654456.39,#N/A
8/20/2015,104%,101%,106%,102%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,123%,141%,#N/A,180%,170%,135%,134%,96%,126%,10%,#N/A,#N/A,#N/A,-6%,#N/A,362053866.05,362270306.75,145366390.27,145518431.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69891908.34,176715744.31,#N/A,68608197.51,68566394.28,54168179.66,64535263.30,170556298.00,341668109.66,301391347.53,#N/A,#N/A,#N/A,14654029.96,#N/A
8/21/2015,101%,98%,82%,78%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63%,61%,#N/A,-114%,-120%,44%,-46%,93%,92%,121%,#N/A,#N/A,#N/A,701%,#N/A,358545099.38,358824545.39,145428889.15,145577691.99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69915038.05,176771967.55,#N/A,68567336.82,68523320.57,54180707.51,64519615.32,170639165.79,341833678.40,301582773.11,#N/A,#N/A,#N/A,14707934.53,#N/A
8/24/2015,100%,97%,27%,22%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73%,-49%,#N/A,-140%,-147%,54%,-30%,77%,-27%,88%,#N/A,#N/A,#N/A,-314%,#N/A,360033179.37,360613430.31,145549226.73,145737750.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69941872.98,176726084.21,#N/A,68516863.27,68470396.55,54196025.34,64509345.39,170708418.20,341785484.53,301721820.05,#N/A,#N/A,#N/A,14683678.03,#N/A
8/25/2015,122%,119%,129%,124%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,152%,145%,#N/A,168%,159%,130%,163%,83%,151%,-31%,#N/A,#N/A,#N/A,49%,#N/A,361394137.02,362026596.72,145727763.53,145912924.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69997763.93,176860544.77,#N/A,68577409.21,68527463.80,54232867.62,64564503.51,170782965.99,342055590.51,301672409.56,#N/A,#N/A,#N/A,14687428.84,#N/A
8/26/2015,113%,110%,181%,176%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,133%,325%,#N/A,297%,286%,163%,246%,86%,281%,146%,#N/A,#N/A,#N/A,823%,#N/A,360957496.86,361578921.10,146451836.38,146633457.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70046527.58,177161721.07,#N/A,68684149.42,68630166.60,54279241.75,64647701.67,170860019.15,342560449.81,301903568.95,#N/A,#N/A,#N/A,14750874.13,#N/A
8/27/2015,98%,95%,92%,88%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80%,153%,#N/A,0%,-8%,79%,22%,83%,117%,277%,#N/A,#N/A,#N/A,524%,#N/A,365232870.04,365652336.59,147112881.11,147252602.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70076046.05,177304249.86,#N/A,68684105.01,68627384.72,54301636.31,64655112.99,170934448.31,352270695.79,302341675.00,#N/A,#N/A,#N/A,14791432.38,#N/A
8/28/2015,105%,102%,144%,139%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97%,297%,#N/A,118%,109%,108%,132%,85%,213%,112%,#N/A,#N/A,#N/A,857%,#N/A,362933241.61,363385501.89,147424234.79,147554320.92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70111530.06,177580068.66,#N/A,68726494.46,68666518.61,54332499.59,64699843.67,168911043.59,352663603.95,312020084.03,#N/A,#N/A,#N/A,14857929.68,#N/A
8/31/2015,97%,94%,34%,30%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,36%,-1%,#N/A,-150%,-156%,38%,-54%,84%,-17%,207%,#N/A,#N/A,#N/A,-367%,#N/A,365517876.85,365866625.60,147580389.91,147827517.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70124644.77,177579169.33,#N/A,68672461.58,68610406.02,54343220.20,64681431.40,168985248.36,369832300.18,312359181.91,#N/A,#N/A,#N/A,14829355.56,#N/A
9/1/2015,97%,94%,27%,22%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,48%,-108%,#N/A,-44%,-51%,46%,-15%,85%,-48%,-20%,#N/A,#N/A,#N/A,-905%,#N/A,367803940.07,368088823.18,148101084.81,148244861.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70142186.36,177478213.92,#N/A,68656655.29,68592055.56,54356222.74,64676181.78,169060754.86,369739733.26,329538582.95,#N/A,#N/A,#N/A,14758946.90,#N/A
9/2/2015,84%,81%,-17%,-21%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-41%,-95%,#VALUE!,-357%,-363%,-67%,-208%,85%,-108%,-52%,#N/A,#N/A,#N/A,-449%,#N/A,370326355.02,370540804.58,148167815.67,148323336.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70126992.46,177389567.41,0.00,68527993.17,68461357.84,54336999.31,64605745.45,169136301.81,371529809.55,329448658.61,#N/A,#N/A,#N/A,14724189.34,#N/A
9/3/2015,117%,114%,119%,114%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,193%,179%,#DIV/0!,335%,326%,199%,259%,85%,120%,-113%,#N/A,#N/A,#N/A,-696%,#N/A,372173560.96,372877083.96,148340082.16,148494198.46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70197868.03,177556064.39,25400000.00,68648289.55,68578427.80,54393635.25,64693423.46,169211885.79,371762860.61,331253858.25,#N/A,#N/A,#N/A,14670455.24,#N/A
9/4/2015,86%,83%,31%,26%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-68%,-29%,76%,-243%,-251%,-27%,-163%,88%,-5%,115%,#N/A,#N/A,#N/A,103%,#N/A,372960627.92,373292440.06,148664043.97,148974757.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70172987.88,177408888.58,25410119.91,68500879.00,68488105.58,54385956.35,64637968.56,169289668.13,371599871.95,331453836.50,#N/A,#N/A,#N/A,14678349.86,#N/A
9/8/2015,124%,121%,224%,220%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,331%,435%,150%,543%,533%,312%,379%,86%,367%,-10%,#N/A,#N/A,#N/A,912%,#N/A,372803156.17,373011435.21,149104126.30,149411370.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70294921.68,177813655.71,25430107.12,68696068.69,68679500.29,54475009.55,64766320.41,169365627.79,372316098.94,331437078.95,#N/A,#N/A,#N/A,14748589.11,#N/A
9/9/2015,111%,109%,118%,113%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,145%,151%,57%,295%,284%,188%,230%,85%,129%,363%,#N/A,#N/A,#N/A,-433%,#N/A,373400944.00,373809439.50,149651420.92,149955227.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70348528.86,177954409.41,25437755.12,68802367.85,68781812.89,54528605.76,64844614.83,169441575.47,375058672.34,332067603.18,#N/A,#N/A,#N/A,14715095.09,#N/A
9/10/2015,93%,87%,-15%,-19%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2%,-97%,180%,-94%,-100%,35%,-55%,76%,-147%,125%,#N/A,#N/A,#N/A,-1752%,#N/A,373363755.74,373782429.10,149879564.90,150078987.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70347632.34,177864111.49,25461745.60,68768319.90,68745595.36,54538493.41,64826073.78,169508780.39,374769196.16,334784880.57,#N/A,#N/A,#N/A,14579876.34,#N/A
9/11/2015,112%,108%,140%,135%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,123%,141%,117%,359%,347%,202%,243%,82%,135%,-151%,#N/A,#N/A,#N/A,-394%,#N/A,375652280.01,375812647.52,150089695.43,150314605.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70393150.42,177995378.41,25477387.45,68897853.89,68870888.86,54596428.31,64908554.41,169581339.92,375035564.98,334519124.49,#N/A,#N/A,#N/A,14549754.75,#N/A
9/14/2015,117%,114%,151%,146%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,370%,335%,468%,416%,404%,265%,359%,83%,270%,131%,#N/A,#N/A,#N/A,418%,#N/A,376582468.22,376848587.53,150208266.24,150480814.84,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70529789.73,178308340.64,25539945.93,69048275.94,69016809.76,54672427.26,65030882.76,169655338.58,375566066.60,334748980.25,#N/A,#N/A,#N/A,14581639.59,#N/A
9/15/2015,101%,98%,131%,127%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63%,189%,-112%,74%,66%,87%,71%,86%,177%,265%,#N/A,#N/A,#N/A,822%,#N/A,377032141.30,377299394.80,150411767.45,150580843.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70553202.63,178485307.05,25524946.33,69075087.90,69040624.61,54697273.92,65055256.50,169731715.57,379315468.98,335214265.80,#N/A,#N/A,#N/A,14644552.85,#N/A
9/16/2015,105%,102%,127%,122%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,162%,197%,145%,183%,174%,131%,133%,94%,175%,173%,#N/A,#N/A,#N/A,487%,#N/A,380740120.77,381004114.40,150661740.14,150884336.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70612990.87,178669398.42,25544417.67,69141487.99,69103543.06,54734802.02,65100638.04,169815178.54,379663642.89,338917836.51,#N/A,#N/A,#N/A,14681977.45,#N/A
9/17/2015,101%,98%,92%,87%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64%,73%,80%,69%,61%,89%,83%,94%,72%,170%,#N/A,#N/A,#N/A,-140%,#N/A,381741921.26,382156670.35,150484072.35,150703225.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70636778.12,178737941.54,25555175.35,69166464.89,69125541.59,54760467.35,65129006.97,169898862.72,379807948.66,339220033.70,#N/A,#N/A,#N/A,14671162.33,#N/A
9/18/2015,77%,74%,35%,30%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-579%,-220%,-56%,-446%,-449%,-157%,-223%,94%,-163%,68%,#N/A,#N/A,#N/A,-385%,#N/A,376776156.81,377336438.51,150511731.08,150777236.69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70422103.79,178531793.14,25547629.15,69004502.61,68962779.79,54715414.37,65052890.73,169982689.25,379483637.41,339341369.37,#N/A,#N/A,#N/A,14641532.56,#N/A
9/21/2015,101%,99%,78%,74%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-38%,10%,54%,-39%,-46%,49%,31%,95%,20%,-167%,#N/A,#N/A,#N/A,-294%,#N/A,380916781.33,381261376.87,150573629.01,150840657.98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70408142.06,178541125.28,25554799.81,68990317.12,68946074.16,54729438.68,65063308.41,170067704.45,379523800.69,339044730.96,#N/A,#N/A,#N/A,14618935.79,#N/A
9/22/2015,98%,100%,85%,81%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31%,33%,64%,6%,-1%,54%,41%,325%,43%,16%,#N/A,#N/A,#N/A,-157%,#N/A,390388476.32,390738876.06,151081008.88,151229586.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70419507.30,178571596.63,25563323.14,68992640.67,68945692.77,54744916.24,65077447.04,170357663.63,379609561.11,339072558.99,#N/A,#N/A,#N/A,14606866.42,#N/A
9/23/2015,92%,89%,51%,47%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-256%,-94%,-44%,-172%,-180%,-35%,-57%,117%,-68%,39%,#N/A,#N/A,#N/A,-555%,#N/A,390421166.11,390693970.84,151371597.79,151656068.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70325061.56,178483511.34,25557449.23,68930490.20,68880707.83,54734885.76,65058118.79,170461972.65,379474601.67,339141073.21,#N/A,#N/A,#N/A,14564367.53,#N/A
9/24/2015,153%,150%,128%,124%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1444%,459%,249%,1197%,1180%,608%,750%,109%,363%,-72%,#N/A,#N/A,#N/A,-1689%,#N/A,391674859.73,391947383.27,151688575.53,151910556.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70857838.28,178913680.42,25590790.25,69363352.53,69306987.03,54909597.26,65314000.37,170559697.36,380197698.50,339012386.63,#N/A,#N/A,#N/A,14435282.50,#N/A
9/25/2015,87%,84%,82%,77%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-273%,-10%,31%,-176%,-181%,-24%,-62%,103%,16%,359%,#N/A,#N/A,#N/A,263%,#N/A,385553559.70,385959989.62,152233460.69,152364260.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70756191.48,178903849.96,26594982.04,69299259.56,69241019.72,54902713.65,65292649.44,169851558.55,380229794.74,339650529.02,#N/A,#N/A,#N/A,14455197.94,#N/A
